,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category
29,Moon Juice,SuperHair™ Daily Hair Nutrition,60.00,0,612,0.0,120 Capsules•,1,Beauty Supplements
30,WelleCo,The Super Elixir™,135.00,8,1943,4.5,10.6 oz,0,Beauty Supplements
31,Vitruvi,Stone Diffuser,119.00,20,4849,4.35,3.3 in. x 3.3 in. 7 in.•,0,None
32,Slip,Beauty Sleep To Go!,119.00,6,7474,4.1667000000000005,,0,Holistic Wellness
33,Crushed Tonic,Anti-Aging Collagen Elixir,105.00,32,905,4.7188,"Assorted Crush - Original, Matcha, Turmeric",0,Beauty Supplements
34,Mount Lai,De-Puffing Jade Facial Roller Mini,20.00,20,0,4.5,None,0,None
35,Herbivore,Rose Quartz Facial Roller,40.00,30,11701,3.1667000000000005,None,0,Tools
36,HUM Nutrition,Red Carpet Skin and Hair Health Supplement,25.00,94,10928,4.1064,60 Capsules•,0,Beauty Supplements
37,KORA Organics,Rose Quartz Heart Facial Gua Sha,58.00,15,4614,3.9333,None,1,Tools
38,HUM Nutrition,Beauty zzZz Sleep Support Supplement,10.00,117,8680,4.0598,30 Tablets•,0,Beauty Supplements
39,WelleCo,The Super Elixir™ Refill,80.00,4,662,4.75,10.6 oz,0,Beauty Supplements
40,HUM Nutrition,OMG! Omega The Great Fish Oil Supplement,30.00,55,7674,4.3636,60 Softgels•,0,Beauty Supplements
41,Perricone MD,Skin & Total Body Dietary Supplements,155.00,77,3335,4.5325,None,0,None
42,Moon Juice,Sex Dust®,38.00,49,4625,3.8571,1.5 oz,0,Beauty Supplements
43,Herbivore,Coconut Milk Bath Soak,18.00,33,6629,4.0606,8 oz,0,None
44,HUM Nutrition,Uber Energy Adrenal Fatigue and Adaptogen Supplement,25.00,49,7316,3.9184000000000005,None,0,Beauty Supplements
45,HUM Nutrition,Wing Man Liver Detox and Dark Circle Supplement,25.00,42,9667,3.7143,60 Capsules•,0,None
46,8Greens,8G Dietary Supplement,14.00,15,1137,5.0,10 tablets,0,Beauty Supplements
47,SEPHORA COLLECTION,Sephora Collection x OLLY: Skin Detox,15.00,14,3649,3.6429000000000005,50 Capsules•,0,None
48,The Beauty Chef,HYDRATION Inner Beauty Boost,50.00,58,2812,4.7241,16.9 oz,0,Beauty Supplements
49,Slip,Pure Silk Sleepmask Zodiac Edition,50.00,16,7285,4.5,,0,None
50,HUM Nutrition,Raw Beauty Skin & Energy Superfood Powder - Mint Chocolate,39.00,218,8967,4.1422,8.5 oz,0,None
51,The Beauty Chef,ANTIOXIDANT Inner Beauty Boost,50.00,40,2347,4.875,16.9 oz,0,Beauty Supplements
52,SEPHORA COLLECTION,Sephora Collection x OLLY: Radiant Sleep,15.00,11,3179,4.2727,50 Capsules•,0,Beauty Supplements
53,Vital Proteins,Collagen Creamer,29.00,28,2296,3.9643,10.2 oz,0,None
54,HUM Nutrition,"Runway Ready Skin, Hair & Nail Repair Kit",35.00,79,9513,4.3671,30 Daily Packs•,0,None
55,Vitruvi,Quiet Time Diffuser Set,135.00(145.00 value),5,187,5.0,None,0,None
56,Herbivore,Rose Quartz Gua Sha,18.00,11,3177,3.7273000000000005,None,1,None
57,Vital Proteins,Matcha Collagen,49.00,10,1803,4.900000000000001,12 oz,0,Beauty Supplements
